work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,company_size,employee_residence,remote_ratio,company_location
2021e,EN,FT,AI Scientist,1335000,INR,18102,S,IN,100,AS
2020,SE,FT,Data Scientist,80000,EUR,91237,S,AT,0,AT
2020,MI,FT,Data Scientist,55000,EUR,62726,S,FR,50,LU
2021e,MI,FT,Data Scientist,115000,USD,115000,L,US,50,US
2021e,SE,FT,Principal Data Scientist,235000,USD,235000,L,US,100,US
2021e,MI,FT,Lead Data Analyst,1450000,INR,19661,L,IN,100,IN
2021e,EN,PT,AI Scientist,12000,USD,12000,S,BR,100,US
2021e,MI,FT,Data Analyst,75000,USD,75000,L,US,0,US
2021e,MI,FT,Data Analyst,62000,USD,62000,L,US,0,US
2021e,MI,FT,Data Scientist,73000,USD,73000,L,US,0,US
2021e,MI,FT,Data Engineer,38400,EUR,45773,L,NL,100,NL
2020,SE,FT,Data Science Manager,190200,USD,190200,M,US,100,US
2020,MI,FT,Data Scientist,118000,USD,118000,M,US,100,US
2020,MI,FT,Data Scientist,138350,USD,138350,M,US,100,US
2020,MI,FT,Data Engineer,130800,USD,130800,M,ES,100,US
2020,SE,FT,Machine Learning Engineer,40000,EUR,45618,S,HR,100,HR
2021e,SE,FT,Director of Data Science,168000,USD,168000,S,JP,0,JP
2021e,MI,FT,Data Scientist,160000,SGD,119353,M,SG,100,IL
2021e,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,L,US,50,US
2021e,MI,FT,Data Engineer,24000,EUR,28608,L,MT,50,MT
2021e,SE,FT,Data Specialist,165000,USD,165000,L,US,100,US
2020,SE,FT,Data Scientist,412000,USD,412000,L,US,100,US
2021e,MI,FT,Principal Data Scientist,151000,USD,151000,L,US,100,US
2020,EN,FT,Data Scientist,105000,USD,105000,S,US,100,US
2020,EN,CT,Business Data Analyst,100000,USD,100000,L,US,100,US
2021e,SE,FT,Data Science Manager,7000000,INR,94917,L,IN,50,IN
